mr_name,name_contains_OTG_AUTHZ,calls_changeCredentials,calls_userCanRetrieveContent,calls_cannotReachThroughGUI,calls_isSupervisorOf,calls_isAdmin,calls_isUserIdParameter,calls_parameterValuesUsedByOtherUsers,has_LoginAction_User(),gates_on_GUI_derived(ucrc|crtg|isSupervisorOf),gates_on_any_identity_or_gui_predicate
CWE_138_150_551_552_668_707_921_OTG_AUTHZ_001b,True,False,True,False,False,True,False,False,False,True,True
CWE_15_639_OTG_AUTHZ_004,True,False,True,False,False,False,False,True,False,True,True
CWE_20_73_99_219_220_528_530_642_732_OTG_AUTHZ_001a,True,False,True,False,False,False,False,False,False,True,True
CWE_200,False,True,False,False,False,False,False,False,False,False,False
CWE_22,False,False,True,False,False,False,False,False,False,True,True
CWE_258,False,False,True,False,False,False,False,False,False,True,True
CWE_262_263_309_324,False,False,False,False,False,False,False,False,False,False,False
CWE_266_267_268_269_285_522_529_862_863_OTG_AUTHZ_002,True,True,False,True,True,False,False,False,False,True,True
CWE_276_277_OTG_AUTHZ_002d,True,False,False,False,False,True,False,False,False,False,True
CWE_280_755_OTG_AUTHZ_002e,True,True,True,True,True,False,False,False,False,True,True
CWE_284_346_OTG_AUTHN_004,False,False,False,False,False,False,False,False,False,False,False
CWE_286_OTG_AUTHZ_002c,True,False,False,True,True,False,False,False,True,True,True
CWE_287a_425_OTG_AUTHN_001,False,False,False,False,False,False,False,False,False,False,False
CWE_288_287b_300_304_319_OTG_AUTHN_010,False,False,False,False,False,False,False,False,False,False,False
CWE_289a,False,True,True,True,True,False,False,False,False,True,True
CWE_289b_647,False,False,True,False,False,False,False,False,False,True,True
CWE_290_291,False,False,True,False,False,False,False,False,False,True,True
CWE_298_599,False,False,True,False,False,False,False,False,False,True,True
CWE_302_471_472_784_807,False,True,False,True,False,False,False,False,False,True,True
CWE_306_OTG_AUTHZ_002b,True,True,False,True,True,False,False,False,False,True,True
CWE_312_313_532_538_359,False,False,False,True,False,False,False,False,False,True,True
CWE_314,False,False,True,False,False,False,False,False,False,True,True
CWE_315,False,False,False,False,False,False,False,False,False,False,False
CWE_352,False,False,False,False,False,False,False,False,False,False,False
CWE_420_OTG_CONFIG_007,False,False,False,False,False,False,False,False,False,False,False
CWE_434,False,False,False,False,False,False,False,False,False,False,False
CWE_488,False,True,True,False,True,False,False,False,False,True,True
CWE_521_b,False,False,True,False,False,False,False,False,False,True,True
CWE_521,False,False,False,False,False,False,False,False,False,False,False
CWE_601_OTG_AUTHZ_002a,True,True,False,True,True,False,False,False,False,True,True
CWE_610_384,False,False,False,False,False,False,False,False,False,False,False
CWE_611,False,False,False,False,False,False,False,False,False,False,False
CWE_613_OTG_SESS_006,False,False,False,False,False,False,False,False,False,False,False
CWE_643_652_B,False,False,True,False,False,False,False,False,False,True,True
CWE_643_652_C,False,False,True,False,False,False,False,False,False,True,True
CWE_643_652,False,False,True,False,False,False,False,False,False,True,True
CWE_703_166_78_77_76_75_74_91_790_791_B,False,False,True,False,False,False,False,False,False,True,True
CWE_703_166_78_77_76_75_74_91_790_791,False,False,True,False,False,False,False,False,False,True,True
CWE_757_OTG_CRYPST_004_F,False,False,False,False,False,False,False,False,False,False,False
CWE_792_793_794_795_796_797_A,False,False,False,False,False,False,False,False,False,False,False
CWE_792_793_794_795_796_797_B,False,False,False,False,False,False,False,False,False,False,False
CWE_792_793_794_795_796_797_C,False,False,False,False,False,False,False,False,False,False,False
CWE_792_793_794_795_796_797_D,False,False,False,False,False,False,False,False,False,False,False
CWE_792_793_794_795_796_797_E,False,False,False,False,False,False,False,False,False,False,False
CWE_792_793_794_795_796_797_F,False,False,False,False,False,False,False,False,False,False,False
