,MRs name,on User,on Action,Equal user,different user,Equal,Subset,Add,Modification/set,Equal Output,Different Output,Condition on output of the follow-up user 
1,CWE_138,1,1,1,0,0,0,0,1,0,0,1
2,CWE_15,1,0,1,0,0,0,0,1,0,0,1
3,CWE_20,0,1,1,0,0,0,0,1,0,0,1
4,CWE_22,1,1,1,0,0,0,0,1,0,0,1
5,CWE_258,1,1,1,0,0,0,0,1,0,1,1
6,CWE_262,0,1,1,0,0,0,1,0,0,1,0
7,CWE_266,1,1,0,1,1,0,0,0,0,1,1
8,CWE_276,1,1,1,0,0,0,0,1,0,1,1
9,CWE_280,1,1,0,1,0,0,1,0,0,0,1
10,CWE_284,0,1,1,0,1,0,0,0,0,1,0
11,CWE_286,1,1,1,0,0,1,0,0,0,1,1
12,CWE_287A,0,1,1,0,0,0,0,1,0,1,0
13,CWE_288,0,1,1,0,0,0,0,1,0,1,0
14,CWE_289a,1,1,0,1,0,0,0,1,0,1,1
15,CWE_289b_647,0,1,1,0,0,0,0,1,0,0,1
16,CWE_290,1,1,1,0,0,0,0,1,0,1,1
17,CWE_298,1,1,1,0,0,0,0,1,0,1,1
18,CWE_302,0,1,1,0,0,0,0,1,0,1,1
19,CWE_306,1,1,0,1,0,1,0,0,1,0,0
20,CWE_312,0,1,1,0,1,0,0,0,0,0,1
21,CWE_314,1,1,1,0,0,0,0,1,0,0,1
22,CWE_315,0,1,1,0,1,0,0,0,0,0,1
23,CWE_352,0,1,1,0,0,0,1,0,0,1,0
24,CWE_420,0,1,1,0,0,0,0,1,1,0,1
25,CWE_434,0,1,1,0,0,0,0,1,0,1,1
26,CWE_488,1,1,0,1,0,1,0,0,0,1,1
27,CWE_521b,0,1,1,0,0,0,0,1,0,1,1
28,CWE_521 ,0,1,1,0,0,0,0,1,0,1,1
29,CWE_601,1,1,0,1,1,0,0,0,0,1,1
30,CWE_610,0,1,1,0,0,1,0,1,0,1,1
31,CWE_611,0,1,1,0,0,0,0,1,0,1,1
32,CWE_613,0,1,1,0,0,0,1,0,0,1,0
33,CWE_643B,1,1,1,0,0,0,0,1,0,0,1
34,CWE_643C,1,1,1,0,0,0,0,1,0,0,1
35,CWE_643A,1,1,1,0,0,0,0,1,0,0,1
36,CWE_703B,0,1,1,0,0,0,0,1,0,0,1
37,CWE_703 ,0,1,1,0,0,0,0,1,0,0,1
38,CWE_757,0,1,1,0,0,0,0,1,0,1,0
39,CWE_792a,0,1,1,0,0,0,0,1,1,0,1
40,CWE_792b,0,1,1,0,0,0,0,1,1,0,1
41,CWE_792c,0,1,1,0,0,0,0,1,1,0,1
42,CWE_792d,0,1,1,0,0,0,0,1,1,0,1
43,CWE_792e,0,1,1,0,0,0,0,1,1,0,1
44,CWE_792f,0,1,1,0,0,0,0,1,1,0,1
45,CWE_792g,0,1,1,0,0,0,0,1,1,0,1
46,CWE_792h,0,1,1,0,0,0,0,1,1,0,1
47,CWE_792i,0,1,1,0,0,0,0,1,1,0,1
48,CWE_792j,0,1,1,0,0,0,0,1,1,0,1
49,CWE_792k,0,1,1,0,0,0,0,1,1,0,1
50,CWE_792l,0,1,1,0,0,0,0,1,1,0,1
51,CWE_79a,0,1,1,0,0,0,0,1,0,0,1
52,CWE_79b,0,1,1,0,0,0,0,1,0,0,1
53,CWE_79c,0,1,1,0,1,0,0,1,0,0,1
54,CWE_841,0,1,1,0,0,1,0,0,0,1,1
55,CWE_88,1,1,1,0,0,0,0,1,1,0,1
56,CWE_88b,1,1,1,0,0,0,0,1,1,0,1
57,CWE_89b,1,1,1,0,0,0,0,1,0,0,1
58,CWE_89c,1,1,1,0,0,0,0,1,1,0,1
59,CWE_89a,1,1,1,0,0,0,0,1,1,0,1
60,CWE_90a,1,1,1,0,0,0,0,1,0,0,1
61,CWE_90b,1,1,1,0,0,0,0,1,0,0,1
62,CWE_90c,1,1,1,0,0,0,0,1,0,0,1
63,CWE_923,1,1,1,0,0,0,0,1,0,1,1
64,CWE_93a,1,0,1,0,0,0,0,1,0,0,1
65,CWE_93b,1,0,1,0,0,0,0,1,0,0,1
66,CWE_94_95,1,1,1,0,0,0,0,1,0,0,1
67,CWE_96b,1,1,1,0,0,0,0,1,0,0,1
68,CWE_96a,1,1,1,0,0,0,0,1,0,0,1
69,OTG_AUTHZ_003,0,1,0,1,1,0,0,1,0,1,0
70,OTG_BUSLOGIC_005,0,1,1,0,0,0,1,0,0,1,0
71,OTG_INPVAL_003,0,1,1,0,0,0,0,1,0,1,0
72,OTG_INPVAL_004,0,0,1,0,0,0,1,0,1,0,0
73,OTG_SESS_003,0,1,1,0,0,0,1,0,0,1,0
74,OTG_SESS_007,0,1,1,0,0,0,1,0,0,1,0
75,OTG_SESS_008,0,1,1,0,0,0,1,0,0,1,0
76,CWE_200_CheckTags,1,1,0,1,1,0,0,0,1,0,1
